Meta-Modelo,Alg. Alvo,RMSE,Spearman,N Features
Random Forest,DecisionTree,0.11219011489302325,0.5700000000000001,114
Random Forest,SVM,0.1436914119500267,0.45999999999999996,114
Random Forest,KNN,0.12451506347507593,0.6599999999999999,114
Random Forest,LogisticRegression,0.0818054657040151,0.78,114
Random Forest,Perceptron,0.2083306834796738,0.36000000000000004,114
Random Forest,MLP,0.1459488756665618,0.6,114
KNN (k=5),DecisionTree,0.14244114497370972,0.29486832980505134,114
KNN (k=5),SVM,0.18596157981395747,0.2637864787372622,114
KNN (k=5),KNN,0.1748962166733436,-0.14149216171274204,114
KNN (k=5),LogisticRegression,0.163441460591624,-0.14513167019494863,114
KNN (k=5),Perceptron,0.21469498665682923,0.3110818510677892,114
KNN (k=5),MLP,0.1810604571694945,0.4732455532033676,114
